,date,hscei_w,hsi_w,hscei_g,hsi_g,allocation,selection,interaction
30,2019_07_16,100.00999999999999,96.68,1.9299086988147187,5.263014891859098,-0.3787600366033284,-2.989090280376883,-0.3094767539806802
31,2019_07_17,99.99,96.66,-2.249233294094412,-0.5334383283469476,0.03946414870400282,-1.5444767717926675,-0.16695378608856107
32,2019_07_18,100.00999999999999,96.61999999999998,-6.910372549696525,-7.955775508276918,0.5505442074151231,0.44364234505301314,0.4685488646116544
33,2019_07_19,99.97999999999999,96.65,7.44059796558414,9.887604667104032,-0.9966581915579633,-2.5162491316015774,0.40402114720953103
34,2019_07_22,99.99,96.63,-10.126723185968805,-11.768359744153788,0.9891690674429953,1.6886209311676208,-0.044873189853964164
35,2019_07_23,100.0,96.65,4.764570939874181,6.21710846673354,-0.49225184606289,-1.8565133367063995,0.42344943623757875
36,2019_07_24,99.97,96.63999999999999,5.583616170268218,4.802185357147857,-0.4914771677756049,1.607383156558107,-0.28396894951365415
37,2019_07_25,100.0,96.66,4.336328379954094,3.8081279900638307,-0.502875638105725,0.8382434943840672,0.42831551689822744
38,2019_07_26,100.01,96.69999999999999,-7.452383563849125,-6.762994985849702,0.587335024878218,-0.746530835220288,0.004750847225471325
39,2019_07_29,100.04999999999998,96.64999999999999,-3.1570082295699455,-7.663697718692264,1.0329008007017813,4.8893932379632865,-0.28731275422223884
40,2019_07_30,100.00000000000001,96.67999999999999,1.5142018745353703,2.707262172173583,-0.13671104730702305,-1.1121530326801445,0.02380501981228862
41,2019_07_31,99.97000000000003,96.67,-8.011910699187371,-11.768599448923332,1.0613234845767041,3.477444415790101,0.12705339259625922
42,2019_08_01,99.99999999999999,96.72999999999999,-6.0243650737203716,-6.832715702172832,0.4903519198694073,0.4513026461694639,0.7875804501539249
43,2019_08_02,99.99000000000001,96.64999999999999,-21.207181596057957,-29.07781798619131,2.9776361180255613,7.211763229717952,-0.21855580270714325
44,2019_08_05,100.03,96.70000000000002,-22.795034217983797,-25.50564240151079,2.339529180981339,2.3491677954215238,0.14432438451440252
45,2019_08_06,100.01,96.68,-5.86176439873383,-4.343022244039145,0.6903426205670437,-1.3511029693931331,-0.6157820025889851
46,2019_08_07,99.99,96.75999999999999,-1.6863233800660287,1.0255322823349826,0.2529250434611343,-2.53683466396659,-0.7618838036312613
47,2019_08_08,100.02000000000001,96.73999999999998,5.1165194950873065,6.202554013854357,-0.47901073380623393,-0.7239339035289516,-0.2858734387797403
48,2019_08_09,100.03,96.75,-5.0288371640267835,-2.483673512080887,0.5899451447615741,-2.530217649035425,-0.2718928153827659
49,2019_08_12,100.03,96.75999999999999,-1.855579907484337,-0.4143936540200262,-0.21739827234370523,-1.085602650649053,0.4049516968028283
50,2019_08_13,100.01,96.76000000000002,-13.771727838417252,-18.200696919833483,1.2596426684837558,4.71065437372034,0.5421818436690062
51,2019_08_14,100.0,96.77999999999999,0.6394012520079134,7.471039313060451,-1.5907659626849224,-6.268343569605308,0.603608295466538
52,2019_08_15,99.99999999999999,96.76,2.540755297110314,11.119271647949105,-0.8518413894926696,-9.126248925537555,-0.22315370262960205
53,2019_08_16,99.97,96.72000000000001,2.969014827471081,8.95661747594444,-0.36279431294012393,-6.617598090045641,-0.19471965558578525
54,2019_08_19,99.97999999999999,96.75000000000001,11.584859500263109,22.58567518914491,-1.9208232905776161,-10.29961862401511,-1.1027092978717052
55,2019_08_20,99.97,96.74000000000001,4.867481409953392,6.975981313627972,-0.24822189346865708,-1.744054129366577,-0.3884894902047791
56,2019_08_21,100.0,96.68,4.898257223979611,0.962589029420438,-1.0065411245249136,4.726565852931195,0.440648819243299
